step,frac_removed,nodes_remaining,frac_remaining,lcc_frac,n_components,density,avg_path_length
0,0.0,2000,1.0,0.15,1100,0.0013514257128564282,5.902066666666666
1,0.02,1960,0.98,0.133,1102,0.0011826629579856445,7.112047034880434
2,0.04,1920,0.96,0.1165,1102,0.0010479090672225117,8.922323122547846
3,0.06,1880,0.94,0.0715,1108,0.0009389897297113675,5.632940486087339
4,0.08,1840,0.92,0.0695,1113,0.0008712201811003145,5.9225712954816006
5,0.1,1800,0.9,0.029,1127,0.0008038416404175159,2.152794292508918
6,0.12,1760,0.88,0.0255,1133,0.0007161222802212001,2.1660899653979238
7,0.14,1720,0.86,0.0235,1138,0.0006263782350474181,2.2480760525124492
8,0.16,1680,0.84,0.0225,1141,0.0005693581780538302,2.1738271604938273
9,0.18,1640,0.82,0.021,1148,0.0005104242622658075,2.173469387755102
10,0.2,1600,0.8,0.016,1152,0.0004655253283302064,1.763671875
11,0.22,1560,0.78,0.0125,1153,0.0003910297528001184,1.6096
12,0.24,1520,0.76,0.01,1164,0.0003187692734139496,2.505
13,0.26,1480,0.74,0.008,1167,0.0002823310125541363,2.921875
14,0.28,1440,0.72,0.008,1170,0.00021475175662111033,2.921875
15,0.3,1400,0.7,0.006,1177,0.00017257224548146636,1.6944444444444444
