step,frac_removed,nodes_remaining,frac_remaining,lcc_frac,n_components,density,avg_path_length
0,0.0,2000,1.0,0.15,1100,0.0013514257128564282,5.902066666666666
1,0.02,1960,0.98,0.1295,1101,0.0011300538592159681,6.646382731324816
2,0.04,1920,0.96,0.11,1102,0.0010042122633315963,7.603512396694215
3,0.06,1880,0.94,0.084,1105,0.0008775604950573529,7.990504535147393
4,0.08,1840,0.92,0.0735,1111,0.0007683760077546871,8.501180063862279
5,0.1,1800,0.9,0.067,1117,0.0006784633438329937,6.211294274894186
6,0.12,1760,0.88,0.0665,1124,0.0006108196806036488,6.2458024761151
7,0.14,1720,0.86,0.063,1131,0.0005462207611239634,6.386873267825648
8,0.16,1680,0.84,0.055,1129,0.0004768286111347457,7.428099173553719
9,0.18,1640,0.82,0.045,1132,0.0004185330138841352,6.640987654320988
10,0.2,1600,0.8,0.04,1140,0.00036624452782989367,6.658125
11,0.22,1560,0.78,0.0225,1137,0.00032030723178895086,6.40395061728395
12,0.24,1520,0.76,0.0095,1155,0.0002737257891271959,3.0138504155124655
13,0.26,1480,0.74,0.008,1158,0.0002339053048992197,3.875
14,0.28,1440,0.72,0.008,1170,0.00018724422824492316,3.875
15,0.3,1400,0.7,0.007,1170,0.0001582763198202798,3.061224489795918
