node,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality
0,0.014507253626813406,0.0002539307987382653,0.047778308647873864,1.3063996663883832e-93
1,0.0,0.0,0.0,2.5206463634699766e-108
2,0.0,0.0,0.0,2.5206463634699766e-108
3,0.010005002501250625,2.296180974434301e-05,0.0,1.2086402913083548e-57
4,0.0,0.0,0.0,2.5206463634699766e-108
5,0.0,0.0,0.0,2.5206463634699766e-108
6,0.0,0.0,0.0,2.5206463634699766e-108
7,0.0,0.0,0.0,2.5206463634699766e-108
8,0.0,0.0,0.0,2.5206463634699766e-108
9,0.010005002501250625,2.1981744302240638e-05,0.03277591973244147,1.305755740350307e-93
10,0.0,0.0,0.0,2.5206463634699766e-108
11,0.004502251125562781,3.6087877876495096e-07,0.0,3.745835010366296e-21
12,0.0,0.0,0.0,2.5206463634699766e-108
13,0.010505252626313155,0.00020860582528628652,0.11232497349218941,8.849350727267231e-20
14,0.0,0.0,0.0,2.5206463634699766e-108
15,0.0,0.0,0.0,2.5206463634699766e-108
16,0.0,0.0,0.0,2.5206463634699766e-108
17,0.0,0.0,0.0,2.5206463634699766e-108
18,0.007503751875937968,4.062334001117113e-05,0.0,3.58363983571184e-49
19,0.0,0.0,0.0,2.5206463634699766e-108
20,0.0,0.0,0.0,2.5206463634699766e-108
21,0.0,0.0,0.0,2.5206463634699766e-108
22,0.0,0.0,0.0,2.5206463634699766e-108
23,0.0,0.0,0.0,2.5206463634699766e-108
24,0.0,0.0,0.0,2.5206463634699766e-108
25,0.0,0.0,0.0,2.5206463634699766e-108
26,0.0,0.0,0.0,2.5206463634699766e-108
27,0.01250625312656328,0.0004425163831266371,0.11811109495419514,2.2649840910672862e-14
28,0.0,0.0,0.0,2.5206463634699766e-108
29,0.01250625312656328,0.0004974336995577503,0.08098018414893876,8.750835208912828e-52
30,0.007003501750875437,4.13141589659385e-06,0.0,6.744153551354292e-87
31,0.0,0.0,0.0,2.5206463634699766e-108
32,0.004502251125562781,2.2225123674399036e-06,0.0,1.3248388506575468e-99
33,0.0,0.0,0.0,2.5206463634699766e-108
34,0.014507253626813406,0.00012723984585620855,0.11331890615778084,1.3663246936856976e-10
35,0.0035017508754377185,1.3084513084513083e-06,0.0,2.7470914022433034e-101
36,0.002001000500250125,0.0,0.0,7.049239620080134e-104
37,0.002001000500250125,0.00011472281293187917,0.09554630543057194,4.6604202797048615e-19
38,0.0,0.0,0.0,2.5206463634699766e-108
